Date,Invesco Global Water ETF,MSCI ACWI,MSCI EAFE,SP500
01/01/2011,0.00909108,0.029,0.0174,0.00814
01/02/2011,0.022522441,0.0069,0.0179,0.02753
01/03/2011,0.046500167,0.0138,0.0052,-0.00342
01/04/2011,-0.021515113,0.0012,0.0111,0.03859
01/05/2011,-0.031548829,0.018,0.0337,-0.02522
01/06/2011,-0.03229926,-0.0096,-0.0103,-0.01748
01/07/2011,-0.095433189,-0.0136,-0.0029,-0.01732
01/08/2011,-0.114010336,0.0069,-0.0018,-0.07526
01/09/2011,0.087662157,-0.023,-0.0089,-0.09652
01/10/2011,-0.031914813,-0.032,-0.0222,0.1069
01/11/2011,-0.048229746,0.0173,0.0276,-0.0328
01/12/2011,0.097510448,-0.0079,0.0009,-0.00313
01/01/2012,0.031708689,-0.0022,-0.0049,0.05723
01/02/2012,0.030165105,0.0234,0.0017,0.04826
01/03/2012,-0.024861965,0.0161,0.0133,0.00413
01/04/2012,-0.086118815,0.0005,-0.0015,-0.01389
01/05/2012,0.023558537,-0.0004,-0.0041,-0.09338
01/06/2012,0.02018564,-0.0133,-0.0318,0.04742
01/07/2012,0.01441464,-0.004,0.0093,0.01253
01/08/2012,0.024274264,0.0142,-0.004,0.01937
01/09/2012,-0.016491902,0.0084,0.0125,0.0293
01/10/2012,0.022431947,0.0104,0.0056,-0.00757
01/11/2012,0.039838369,-0.0018,-0.0042,0.01085
01/12/2012,0.053084641,0.0064,0.0039,0.02137
01/01/2013,0.005290767,0.0148,0.0086,0.04518
01/02/2013,0.009473593,0.0207,0.0199,-0.00189
01/03/2013,0.012513124,0.0024,-0.0128,0.01588
01/04/2013,0.017507862,0.0121,0.0005,0.026
01/05/2013,-0.048076919,0.0139,0.0101,-0.00604
01/06/2013,0.058823434,0.0042,0.004,-0.03099
01/07/2013,-0.010101064,-0.0166,0.0057,0.04688
01/08/2013,0.07704103,0.0088,0.0202,-0.02285
01/09/2013,0.049268746,-0.0054,-0.0172,0.0497
01/10/2013,0.005454672,0.0127,0.0091,0.03936
01/11/2013,0.044303685,0.0159,0.0117,0.01244
01/12/2013,-0.032444797,0.0131,0.0259,0.01617
01/01/2014,0.08715191,0.0119,0.013,-0.0407
01/02/2014,0.004545649,-0.0029,0.0008,0.04646
01/03/2014,-0.018922436,0.0172,0.0026,0.00217
01/04/2014,0.024318722,-0.0048,-0.0059,0.00747
01/05/2014,0.004912047,-0.0021,-0.007,0.01797
01/06/2014,-0.03866979,0.0113,-0.0027,0.01713
01/07/2014,0.026495616,0.0096,0.007,-0.01332
01/08/2014,-0.052456258,-0.0031,-0.007,0.02012
01/09/2014,0.025646117,0.0088,-0.0002,-0.03406
01/10/2014,0.003431946,-0.0001,-0.0028,0.00624
01/11/2014,-0.018384024,-0.008,0.0045,0.01519
01/12/2014,-0.019326465,0.015,0.0057,-0.02043
01/01/2015,0.04055256,0.0001,-0.0069,-0.01628
01/02/2015,-0.012847905,0.0081,-0.0037,0.05396
01/03/2015,0.056399077,0.0106,-0.019,-0.01829
01/04/2015,0.012730927,0.006,-0.0021,0.02717
01/05/2015,-0.035685406,0.0002,-0.0044,-0.0041
01/06/2015,-0.023816219,0.0083,0.01,-0.02532
01/07/2015,-0.082465143,-0.0131,0.0155,0.00772
01/08/2015,-0.048722967,0.0087,0.0056,-0.07041
01/09/2015,0.083179365,-0.0199,0.0095,-0.03801
01/10/2015,-0.010119619,-0.0141,0.0062,0.07756
01/11/2015,-0.027416467,0.0053,-0.0059,-0.00985
01/12/2015,-0.052555769,0.002,-0.0103,-0.01925
01/01/2016,-0.017748378,-0.0085,0.016,-0.06095
01/02/2016,0.085699246,-0.0141,-0.0117,-0.00896
01/03/2016,0.031859467,-0.0108,-0.0073,0.07157
01/04/2016,0,0.0029,0.0156,0.01276
01/05/2016,-0.00414745,0.0034,-0.0087,-0.00191
01/06/2016,0.037674171,0.0036,0.0021,-0.00815
01/07/2016,-0.007633683,-0.001,-0.0253,0.04207
01/08/2016,0.007692405,0.0115,0.0086,0.00125
01/09/2016,-0.042123719,0.0047,0.001,0.00437
01/10/2016,-0.029121579,0.0012,0.0062,-0.01773
01/11/2016,0.006289254,-0.0018,-0.0027,0.00589
01/12/2016,0.03640234,0.0036,-0.0189,0.02034
01/01/2017,0.021455168,0.0096,-0.005,0.02676
01/02/2017,0.028310512,0.007,0.0201,0.02625
01/03/2017,0.031527552,0.0097,-0.0112,0.00983
01/04/2017,0.045630689,0.0039,0.0125,0.01404
01/05/2017,-0.023054741,0.0043,0.0017,0.01894
01/06/2017,0.015553274,0.0082,-0.0028,0.0028
